Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Heart,,D,IF,1.0,1.18,61.7,58.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.85,6.89,4.25,7110,GIA,Faint
Radiant,,H,VS1,1.01,1.35,69.4,66.0,Excellent,Very Good,Thick,,6.8,5.05,3.5,3050,GIA,
Oval,,E,VVS2,1.0,1.45,59.8,57.0,Excellent,Very Good,Slightly Thick to Thick,,8.19,5.63,3.36,4660,GIA,Faint
Marquise,,E,VS1,1.1,2.02,61.4,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.01,5.46,3.35,1100,IGI Lab-Grown,
Oval,,G,VS2,1.01,1.4,63.0,63.0,Excellent,Very Good,Medium to Very Thick,,7.89,5.64,3.55,4480,GIA,
Oval,,F,VS2,1.01,1.46,61.6,59.0,Excellent,Excellent,Medium to Slightly Thick,,8.22,5.62,3.46,4610,GIA,
Princess,Very Good,H,VS1,1.0,1.0,73.6,72.0,Very Good,Good,Slightly Thick,,5.51,5.5,4.05,2610,GIA,
Radiant,,H,VS1,1.06,1.12,69.5,66.0,Excellent,Very Good,Medium to Slightly Thick,,6.08,5.41,3.76,3650,GIA,
Princess,Ideal,E,VS1,1.08,1.02,69.9,69.0,Excellent,Excellent,Medium,Pointed,5.65,5.55,3.88,1070,IGI Lab-Grown,
Round,Ideal,E,VS1,1.59,1.0,60.9,59.0,Excellent,Excellent,Medium,Pointed,7.52,7.55,4.59,1850,IGI Lab-Grown,
Pear,,E,VS1,1.07,1.76,60.1,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.84,5.59,3.36,1080,IGI Lab-Grown,
Pear,,F,VS2,1.01,1.56,59.4,56.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.69,5.58,3.31,4320,GIA,
Radiant,,G,VS2,1.01,1.29,67.9,68.0,Excellent,Very Good,Thick to Very Thick,,6.55,5.09,3.45,3000,GIA,
Princess,Ideal,H,VS1,1.0,1.0,72.9,72.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.31,5.29,3.86,1130,GIA,Faint
Radiant,,H,VVS2,1.01,1.38,68.6,64.0,Excellent,Excellent,Medium to Slightly Thick,,6.91,4.99,3.43,1130,GIA,
Pear,,D,VS1,1.01,1.6,59.9,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.13,5.69,3.41,1100,IGI Lab-Grown,
Pear,,D,VS2,1.01,1.57,58.7,55.0,Very Good,Excellent,Medium to Thick,,8.81,5.6,3.29,3990,GIA,Medium
Radiant,,F,VVS2,1.02,1.3,69.6,70.0,Excellent,Very Good,Thick,,6.58,5.06,3.52,4320,GIA,
Marquise,,E,IF,1.71,1.96,62.3,58.0,Excellent,Excellent,Medium to Very Thick,,12.09,6.18,3.85,19710,GIA,
Round,Very Good,G,VS2,1.0,1.0,60.3,62.0,Excellent,Excellent,Slightly Thick to Thick,,6.44,6.46,3.89,4020,GIA,Faint
Princess,Ideal,E,VVS2,1.04,1.02,72.3,69.0,Excellent,Excellent,Medium,Pointed,5.65,5.56,4.02,1210,IGI Lab-Grown,
Pear,,H,VS2,1.0,1.66,62.4,60.0,Excellent,Excellent,Medium to Thick,,9.04,5.46,3.41,3840,GIA,Faint
Princess,Ideal,G,VS2,1.06,1.01,74.0,69.0,Excellent,Excellent,Very Thick,,5.47,5.43,4.02,4220,GIA,
Radiant,,F,VVS2,1.03,1.42,68.7,61.0,Excellent,Excellent,Medium,Pointed,7.11,4.99,3.43,1270,IGI Lab-Grown,
Radiant,,G,VS1,1.01,1.37,69.2,68.0,Very Good,Very Good,Thick to Very Thick,,6.86,5.02,3.47,4060,GIA,
Princess,Very Good,H,VVS2,1.0,1.03,75.3,72.0,Excellent,Excellent,Slightly Thick to Thick,,5.4,5.26,3.96,2730,GIA,Faint
Radiant,,D,VVS2,1.02,1.2,72.5,66.0,Excellent,Very Good,Thick to Very Thick,,5.94,4.95,3.59,3660,GIA,Faint
Marquise,,F,VVS2,1.0,1.85,61.3,62.0,Excellent,Very Good,Thin to Thick,,10.06,5.45,3.34,6470,GIA,
Radiant,,D,VS1,1.04,1.17,69.7,68.0,Very Good,Very Good,Slightly Thick,,6.24,5.34,3.73,5150,GIA,
Marquise,,E,VS1,1.09,2.02,63.5,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.72,5.32,3.38,1100,IGI Lab-Grown,
Oval,,E,VS1,1.08,1.49,63.6,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.36,5.61,3.57,1050,IGI Lab-Grown,
Oval,,F,VS1,1.1,1.42,62.6,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.29,5.83,3.65,1050,IGI Lab-Grown,
Heart,,D,VVS2,1.01,1.13,63.2,61.0,Excellent,Very Good,Slightly Thick to Very Thick,,6.0,6.78,4.29,7360,GIA,
Round,Very Good,E,VS2,1.01,1.01,64.4,57.0,Excellent,Very Good,Slightly Thick to Thick,,6.2,6.27,4.01,4100,GIA,
Cushion,Ideal,D,VVS1,1.75,1.03,67.0,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.11,6.91,4.63,4690,IGI Lab-Grown,
Oval,,G,VS1,1.0,1.43,66.6,58.0,Excellent,Very Good,Medium to Very Thick,,7.78,5.45,3.63,4490,GIA,
Marquise,,D,IF,2.17,1.97,66.7,55.0,Very Good,Very Good,Medium to Thick,,13.11,6.64,4.43,31530,GIA,Faint
Princess,Very Good,G,VS2,1.01,1.0,76.6,71.0,Excellent,Very Good,Slightly Thick to Thick,,5.18,5.18,3.97,2530,GIA,Medium
Heart,,G,VVS1,1.06,1.18,57.8,57.0,Excellent,Very Good,Medium to Very Thick,,6.21,7.3,4.22,3860,GIA,Faint
Marquise,,E,VS1,1.2,2.06,63.8,54.0,Excellent,Excellent,Medium,Pointed,11.25,5.47,3.49,1190,IGI Lab-Grown,
Marquise,,D,VS1,1.02,2.03,62.8,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.6,5.21,3.27,1110,IGI Lab-Grown,
Round,Ideal,D,VS1,1.59,1.01,61.0,57.0,Excellent,Excellent,Medium,Pointed,7.52,7.58,4.6,1860,IGI Lab-Grown,
Princess,Ideal,E,VS2,1.01,1.0,71.5,70.0,Excellent,Very Good,Thick to Very Thick,,5.42,5.41,3.87,4330,GIA,
Emerald,,G,VS2,1.01,1.44,69.6,64.0,Excellent,Very Good,Slightly Thick to Thick,,6.7,4.66,3.24,2700,GIA,
Princess,Ideal,G,VVS1,1.02,1.01,72.6,71.0,Excellent,Excellent,Medium to Slightly Thick,,5.61,5.54,4.02,3800,GIA,
Pear,,G,VS1,1.0,1.52,63.3,62.0,Excellent,Excellent,Medium to Thick,,8.41,5.53,3.5,5080,GIA,
Oval,,G,VS2,1.01,1.39,61.4,64.0,Excellent,Very Good,Thick to Very Thick,,7.92,5.7,3.5,4430,GIA,Faint
Round,Excellent,H,VS2,1.0,1.01,63.0,57.0,Excellent,Excellent,Medium to Slightly Thick,,6.32,6.36,4.0,4080,GIA,
Princess,Ideal,G,VS1,1.0,1.02,72.7,73.0,Excellent,Very Good,Medium,,5.65,5.54,4.03,3250,GIA,
Heart,,D,VVS1,1.02,1.19,56.1,61.0,Very Good,Excellent,Slightly Thick to Thick,,5.92,7.04,3.95,9530,GIA,
Heart,,G,VS2,1.52,1.17,58.2,60.0,Excellent,Excellent,Medium to Thick,,6.95,8.16,4.75,9730,GIA,
Radiant,,H,VVS1,1.01,1.31,69.6,67.0,Excellent,Excellent,Thick to Very Thick,,6.66,5.1,3.55,3610,GIA,
Marquise,,D,VVS1,1.2,2.28,66.7,60.0,Excellent,Very Good,Thick to Very Thick,,11.75,5.16,3.44,9510,GIA,
Marquise,,D,VS1,1.0,1.75,66.1,59.0,Excellent,Very Good,Thick to Very Thick,,9.12,5.22,3.45,6380,GIA,
Pear,,E,VS1,1.1,1.62,60.0,61.0,Excellent,Excellent,Thin to Medium,Pointed,9.42,5.83,3.5,1100,IGI Lab-Grown,
Pear,,E,VS1,1.06,1.64,62.4,60.0,Excellent,Excellent,Medium to Thick,Pointed,9.21,5.61,3.5,1070,IGI Lab-Grown,
Marquise,,F,VS1,1.0,2.1,58.1,60.0,Excellent,Excellent,Medium to Thick,,10.8,5.14,2.99,5130,GIA,Faint
Radiant,,H,VVS1,1.17,1.12,69.8,69.0,Very Good,Very Good,Slightly Thick to Thick,,6.17,5.52,3.85,4240,GIA,
Princess,Ideal,G,VVS1,1.0,1.01,72.5,70.0,Excellent,Very Good,Thick,,5.43,5.39,3.91,3350,GIA,
Marquise,,D,VS1,1.0,2.15,58.7,65.0,Excellent,Excellent,Medium to Thick,Pointed,11.02,5.13,3.01,1510,IGI Lab-Grown,
Radiant,,D,VS1,1.03,1.45,68.6,65.0,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.12,4.9,3.36,1100,IGI Lab-Grown,
Round,Very Good,H,VVS1,1.0,1.0,59.4,62.0,Excellent,Excellent,Medium to Slightly Thick,,6.45,6.46,3.84,4130,GIA,
Pear,,H,VS1,1.01,1.56,59.9,64.0,Excellent,Excellent,Thick to Very Thick,,8.67,5.57,3.34,3450,GIA,Faint
Marquise,,D,VS1,1.27,1.98,61.6,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.41,5.75,3.54,1370,IGI Lab-Grown,
Princess,Ideal,F,VS2,1.04,1.03,73.8,75.0,Excellent,Very Good,Thick to Very Thick,,5.62,5.47,4.04,2790,GIA,
Pear,,D,VS1,1.0,1.87,66.5,59.0,Excellent,Good,Medium to Extremely Thick,,9.56,5.11,3.4,4080,GIA,
Pear,,E,VS1,1.05,1.58,62.1,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.9,5.65,3.51,1060,IGI Lab-Grown,
Pear,,E,VS1,1.03,1.59,58.2,59.0,Excellent,Excellent,Thin to Medium,Pointed,9.21,5.81,3.38,1040,IGI Lab-Grown,
Pear,,E,VVS2,1.0,1.59,58.5,62.0,Excellent,Excellent,Slightly Thick to Thick,,8.94,5.62,3.29,4450,GIA,Faint
Marquise,,D,VVS2,1.0,1.99,61.9,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.51,5.28,3.27,1360,IGI Lab-Grown,
Radiant,,G,VVS2,1.01,1.3,68.8,68.0,Excellent,Excellent,Slightly Thick to Thick,,6.71,5.16,3.55,3940,GIA,
Pear,,G,VS1,1.0,1.59,62.5,64.0,Very Good,Very Good,Medium to Thick,,8.79,5.52,3.45,4550,GIA,
Radiant,,F,VS1,1.0,1.35,69.6,72.0,Excellent,Very Good,Thick to Very Thick,,6.6,4.89,3.41,4380,GIA,Faint
Oval,,D,VS1,1.01,1.46,61.2,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.35,5.7,3.49,1070,IGI Lab-Grown,
Princess,Ideal,G,VS2,1.0,1.01,73.5,75.0,Very Good,Very Good,Slightly Thick to Very Thick,,5.5,5.47,4.03,3040,GIA,
Round,Ideal,E,VS1,1.58,1.0,61.9,57.0,Excellent,Excellent,Medium,Pointed,7.44,7.46,4.61,1840,IGI Lab-Grown,
Heart,,D,VS1,2.09,1.15,56.4,60.0,Excellent,Excellent,Medium to Thick,Pointed,7.9,9.06,5.11,5090,IGI Lab-Grown,
Pear,,G,VS1,1.04,1.53,64.6,57.0,Very Good,Very Good,Medium to Very Thick,,8.57,5.6,3.62,3850,GIA,Strong
