Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Oval,,H,VS1,1.01,1.39,62.8,61.0,Excellent,Very Good,Slightly Thick to Very Thick,,7.78,5.58,3.51,3510,GIA,Faint
Princess,Very Good,D,VS2,1.01,1.01,75.7,68.0,Excellent,Very Good,Thin to Thick,,5.4,5.33,4.03,3740,GIA,
Pear,,E,VS2,1.01,1.58,60.6,61.0,Excellent,Very Good,Medium to Very Thick,,8.87,5.62,3.4,4240,GIA,
Heart,,E,VVS2,1.0,1.15,59.4,58.0,Excellent,Excellent,Medium to Thick,,6.03,6.96,4.14,5390,GIA,Medium
Heart,,G,VS2,1.0,1.16,57.5,60.0,Excellent,Excellent,Medium to Thick,,6.12,7.12,4.1,3850,GIA,
Radiant,,E,VS1,1.0,1.08,73.4,66.0,Very Good,Good,Thick to Very Thick,,5.78,5.35,3.93,3930,GIA,
Round,Excellent,H,VS2,1.01,1.0,61.7,59.0,Excellent,Excellent,Medium to Slightly Thick,,6.41,6.43,3.96,3790,GIA,Faint
Oval,,D,VS1,1.01,1.35,63.8,60.0,Very Good,Very Good,Slightly Thick to Thick,,7.72,5.7,3.64,4820,GIA,
Heart,,D,VS1,1.0,1.22,59.4,58.0,Very Good,Very Good,Thick to Very Thick,,5.71,6.97,4.14,4430,GIA,
Pear,,D,VS2,1.02,1.53,62.6,63.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.61,5.62,3.52,3980,GIA,
Oval,,G,IF,1.0,1.3,66.5,58.0,Excellent,Excellent,Thick to Very Thick,,7.21,5.55,3.69,5260,GIA,
Pear,,G,VVS1,1.01,1.6,59.0,57.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.91,5.56,3.28,4490,GIA,
Princess,Ideal,E,VS2,1.0,1.01,72.4,69.0,Excellent,Excellent,Medium to Slightly Thick,,5.55,5.51,3.98,3520,GIA,
